accuracy,loss,epochs,dataset_size,k_folds
1.0,0.0,100,0.94,16
1.0,0.0,100,0.94,16
1.0,0.0,100,0.94,16
1.0,0.0,100,0.94,16
1.0,0.0,100,0.94,16
1.0,0.0,100,0.94,16
1.0,0.0,100,0.94,16
1.0,0.0,100,0.94,16
1.0,0.0,100,0.94,16
1.0,0.0,100,0.94,16
1.0,0.0,100,0.94,16
1.0,0.0,100,0.94,16
1.0,0.0,100,0.94,16
1.0,0.0,100,0.94,16
1.0,0.0,100,0.94,16
1.0,0.0,100,0.94,16
1.0,0.0,70,0.94,16
1.0,0.0,70,0.94,16
1.0,0.0,70,0.94,16
1.0,0.0,70,0.94,16
1.0,0.0,70,0.94,16
0.9565217391304348,0.043478260869565216,70,0.94,16
1.0,0.0,70,0.94,16
1.0,0.0,70,0.94,16
0.9347826086956522,0.06521739130434782,70,0.94,16
0.9347826086956522,0.06521739130434782,70,0.94,16
1.0,0.0,70,0.94,16
1.0,0.0,70,0.94,16
0.9565217391304348,0.043478260869565216,70,0.94,16
1.0,0.0,70,0.94,16
1.0,0.0,70,0.94,16
1.0,0.0,70,0.94,16
0.7872340425531915,0.2127659574468085,50,0.94,16
0.9574468085106383,0.0425531914893617,50,0.94,16
0.8936170212765957,0.10638297872340426,50,0.94,16
1.0,0.0,50,0.94,16
0.8297872340425532,0.1702127659574468,50,0.94,16
0.9130434782608695,0.08695652173913043,50,0.94,16
0.9347826086956522,0.06521739130434782,50,0.94,16
0.9347826086956522,0.06521739130434782,50,0.94,16
0.782608695652174,0.21739130434782608,50,0.94,16
0.9130434782608695,0.08695652173913043,50,0.94,16
0.9565217391304348,0.043478260869565216,50,0.94,16
0.9130434782608695,0.08695652173913043,50,0.94,16
0.8695652173913043,0.13043478260869565,50,0.94,16
0.8913043478260869,0.10869565217391304,50,0.94,16
0.9565217391304348,0.043478260869565216,50,0.94,16
0.8478260869565217,0.15217391304347827,50,0.94,16
0.3617021276595745,0.6382978723404256,35,0.94,16
0.5957446808510638,0.40425531914893614,35,0.94,16
0.8297872340425532,0.1702127659574468,35,0.94,16
0.6170212765957447,0.3829787234042553,35,0.94,16
0.723404255319149,0.2765957446808511,35,0.94,16
0.8043478260869565,0.1956521739130435,35,0.94,16
0.6521739130434783,0.34782608695652173,35,0.94,16
0.782608695652174,0.21739130434782608,35,0.94,16
0.717391304347826,0.2826086956521739,35,0.94,16
0.6304347826086957,0.3695652173913043,35,0.94,16
0.5869565217391305,0.41304347826086957,35,0.94,16
0.7391304347826086,0.2608695652173913,35,0.94,16
0.6521739130434783,0.34782608695652173,35,0.94,16
0.6304347826086957,0.3695652173913043,35,0.94,16
0.6739130434782609,0.32608695652173914,35,0.94,16
0.7391304347826086,0.2608695652173913,35,0.94,16
0.2978723404255319,0.7021276595744681,20,0.94,16
0.3191489361702128,0.6808510638297872,20,0.94,16
0.3404255319148936,0.6595744680851063,20,0.94,16
0.425531914893617,0.574468085106383,20,0.94,16
0.46808510638297873,0.5319148936170213,20,0.94,16
0.30434782608695654,0.6956521739130435,20,0.94,16
0.43478260869565216,0.5652173913043478,20,0.94,16
0.45652173913043476,0.5434782608695652,20,0.94,16
0.34782608695652173,0.6521739130434783,20,0.94,16
0.5,0.5,20,0.94,16
0.45652173913043476,0.5434782608695652,20,0.94,16
0.391304347826087,0.6086956521739131,20,0.94,16
0.3695652173913043,0.6304347826086957,20,0.94,16
0.391304347826087,0.6086956521739131,20,0.94,16
0.391304347826087,0.6086956521739131,20,0.94,16
0.4782608695652174,0.5217391304347826,20,0.94,16
1.0,0.0,100,0.9,10
1.0,0.0,100,0.9,10
1.0,0.0,100,0.9,10
1.0,0.0,100,0.9,10
1.0,0.0,100,0.9,10
1.0,0.0,100,0.9,10
1.0,0.0,100,0.9,10
1.0,0.0,100,0.9,10
1.0,0.0,100,0.9,10
1.0,0.0,100,0.9,10
1.0,0.0,70,0.9,10
0.918918918918919,0.08108108108108109,70,0.9,10
0.9324324324324325,0.06756756756756757,70,0.9,10
0.9594594594594594,0.04054054054054054,70,0.9,10
0.9594594594594594,0.04054054054054054,70,0.9,10
1.0,0.0,70,0.9,10
1.0,0.0,70,0.9,10
0.9594594594594594,0.04054054054054054,70,0.9,10
0.972972972972973,0.02702702702702703,70,0.9,10
0.9864864864864865,0.013513513513513514,70,0.9,10
0.6666666666666666,0.3333333333333333,50,0.9,10
0.972972972972973,0.02702702702702703,50,0.9,10
0.9459459459459459,0.05405405405405406,50,0.9,10
0.8783783783783784,0.12162162162162163,50,0.9,10
0.8918918918918919,0.10810810810810811,50,0.9,10
0.8648648648648649,0.13513513513513514,50,0.9,10
0.8648648648648649,0.13513513513513514,50,0.9,10
0.9054054054054054,0.0945945945945946,50,0.9,10
0.9459459459459459,0.05405405405405406,50,0.9,10
0.8918918918918919,0.10810810810810811,50,0.9,10
0.5066666666666667,0.49333333333333335,35,0.9,10
0.5945945945945946,0.40540540540540543,35,0.9,10
0.7432432432432432,0.25675675675675674,35,0.9,10
